company,sector,subsector,year,quarter,amount_usd_m,round_type,lead_investor,country,source_name,source_url,note
Fireblocks,Web3,Institutional Crypto Infrastructure,2022,Q1,550,Series E,Sequoia Capital,USA,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,"Valued at $8B. Clients include BNY Mellon, Galaxy Digital. Cumulative funding reached $799M."
FTX US,Web3,Crypto Exchange,2022,Q1,400,Series A,Paradigm; Temasek; Multicoin Capital,USA,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $8B. ⚠️ Collapsed November 2022 alongside FTX International.
FTX International,Web3,Crypto Exchange,2022,Q1,400,Series C,Paradigm; Temasek; SoftBank,Bahamas,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $32B. ⚠️ Collapsed November 2022 in one of largest crypto fraud cases in history.
Animoca Brands,Web3,Gaming / NFT / GameFi,2022,Q1,358,Series A,Liberty City Ventures,Hong Kong,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $5B. Focus on GameFi / play-to-earn.
NEAR Protocol,Web3,L1 Blockchain,2022,Q1,150,Private Placement,Multiple undisclosed,USA,CoinDesk — NEAR raises $150M from major crypto investment firms,https://www.coindesk.com/business/2022/01/13/near-raises-150m-from-major-crypto-investment-firms,First of two large 2022 rounds. Followed by $350M ecosystem fund in April 2022.
Aleo,Web3,Privacy Blockchain (ZK),2022,Q1,200,Series B,Kora Management LP; SoftBank; a16z,USA,CoinEx Medium — Six blockchain projects that raised over $100M in 2022,https://coinex.medium.com/six-blockchain-projects-that-raised-over-100-million-in-2022-will-they-be-the-ideal-investment-f27762cc998c,Zero-knowledge proof privacy chain. Mainnet remained in testnet phase through 2022.
Polygon,Web3,L2 Blockchain / Scaling,2022,Q1,450,Private Placement,Sequoia Capital India; Tiger Global; SoftBank,India,TechCrunch — Polygon raises $450M from Sequoia India SoftBank Tiger Global / Fortune,https://techcrunch.com/2022/02/07/polygon-raises-450m-from-sequoia-capital-india-softbank-and-tiger-global,L2 Ethereum scaling. Valued at ~$13B. One of three $450M rounds in Q1 2022.
Alchemy,Web3,Blockchain Developer Platform,2022,Q1,200,Series C,Lightspeed Venture Partners; Silver Lake,USA,TechCrunch — Alchemy raises $200M valued at $10.2B,https://techcrunch.com/2022/02/08/alchemy-which-aims-to-be-the-de-facto-platform-for-developers-to-build-on-web3-raises-another-200m-and-is-now-valued-at-10-2b,Valued at $10.2B. Positioned as AWS/Azure of blockchain.
LayerZero Labs,Web3,Cross-Chain Messaging / Infrastructure,2022,Q1,135,Series A,a16z crypto; Sequoia Capital; FTX Ventures,USA,TechCrunch — LayerZero raises $120M (references prior $135M March 2022 raise),https://techcrunch.com/2023/04/04/blockchain-messaging-protocol-layerzero-raises-120m-hitting-3b-valuation,Cross-chain messaging connecting 30+ blockchains. Prior $135M round at $1B valuation.
Blockchain.com,Web3,Crypto Exchange / Wallet,2022,Q1,300,Series D,Lightspeed Venture Partners,UK,Crunchbase News — Web3 Funding Cratered In 2023 (references $14B March 2022 valuation),https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023,Valued at $14B. Later raised Series E at <50% of this valuation in 2023.
