record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
annual_total,2022,Full Year,,90200,UNCONFIRMED,Full Year 2022,All FinTech (VC-backed),Global,,,Crunchbase News — Fintech Funding Jumped 27% In 2025 (lookback to 2022),https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025/,Crunchbase: '$90.2 billion raised in 2022.' Corroborated by separate Crunchbase article: '$89.5 billion invested in financial services in 2022.' Using ~$90B as Crunchbase figure. CB Insights separately reports ~$75-78B VC-only for 2022 (down 50% from 2023=$39.2B). Source methodology differences — Crunchbase is broader. Deal count not confirmed in retrieved sources.
annual_total,2023,Full Year,,43000,UNCONFIRMED,Full Year 2023,All FinTech (VC-backed),Global,,,Crunchbase News — Fintech Funding Halved Last Year (year-end 2023 recap),https://news.crunchbase.com/fintech-ecommerce/financial-services-funding-exits-forecast-2024/,"Crunchbase: '$43 billion, its lowest level in six years, down more than 50% YoY from the $89.5 billion in 2022.' CB Insights separately reports $39.2B / 3,801 deals for 2023 VC-only. ⚠️ SOURCE FLAG: The $6.5B Stripe round (March 2023) accounts for ~15% of the annual total; excluding it, FinTech funding was ~$36.5B. Deal count not confirmed in retrieved Crunchbase sources."
annual_total,2024,Full Year,,40800,4486,Full Year 2024,All FinTech (VC-backed),Global,,,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025/,"Crunchbase: '$40.8 billion raised' and '4,486 deals consummated in 2024.' 2024 fell below 2023 levels. CB Insights separately reports $38.9B / 4,474 deals — very close, minor methodology difference."
annual_total,2025,Full Year,,51800,3457,Full Year 2025,All FinTech (VC-backed),Global,,,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025/,"Crunchbase: '$51.8 billion — 27% increase from 2024's $40.8B; 3,457 deals (-23% YoY).' Fewer but larger rounds — average deal size rising. CB Insights separately reports $52.7B / 3,631 deals — very close. First time funding exceeded pre-pandemic 2019-2020 levels since reset."
mega_deal,2022,Q1,Checkout.com,1000,,January 2022,Payments Processing,UK,Undisclosed institutional,Series D,Multiple — CB Insights / CoinTelegraph 2022 funding recap,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Valued at $40B — one of the largest fintech valuations globally at the time. Payment gateway for online merchants.
mega_deal,2022,Q2,Rippling,500,,May 2022,HR / Payroll FinTech,USA,Greenoaks Capital,Series D,Crunchbase News — The Week's 10 Biggest Funding Rounds (references May 2022 $500M + $11.25B valuation),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-fintech-lambda,Valued at $11.25B. HR/payroll/finance platform for businesses. Emergency close after SVB crisis; same valuation as May 2022 Series D.
mega_deal,2022,Q3,Klarna,800,,July 2022,BNPL / Consumer Payments,Sweden,Multiple existing investors,Undisclosed (Down-Round),TechCrunch / Multiple — Klarna down-round July 2022,https://techcrunch.com/2024/02/08/here-are-the-fintech-startups-that-could-go-public-in-2024/amp,⚠️ DOWN-ROUND: Valued at $6.7B — collapsed from peak $45.6B valuation. Largest private fintech down-round of the era. Reflects broader 2022 fintech valuation reset.
mega_deal,2022,Q3,Ramp,750,,August 2022,Expense Management / Corporate Card,USA,Goldman Sachs; Sequoia Capital,Series C,TechCrunch / Crunchbase — Ramp $750M raise,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-one-liquid-ai,Raised $750M in debt and equity. Valued at $8.1B. Down-round to $5.8B in late 2022. Fast-growing corporate expense management platform.
mega_deal,2022,UNCONFIRMED,Rapyd,300,,2022,Payments Infrastructure,UK,Undisclosed,Series E,VC Mapping — Fintech Investors 2026 (references Rapyd UK raising $500M — date unclear),https://vc-mapping.gilion.com/venture-capital-firms/fintech-investors,⚠️ DATE UNCERTAIN: Rapyd raised $500M in March 2025 (confirmed). A prior 2022 round of $300M has been referenced but exact date/amount not confirmed from primary source. Verify against primary before use.
mega_deal,2023,Q1,Stripe,6500,,March 2023,Payments Processing,USA,Multiple existing investors (Andreessen Horowitz; Founders Fund; Thrive Capital),Series I,Crunchbase News — The Week's 10 Biggest Funding Rounds: Stripe Lands $6.5B,https://news.crunchbase.com/venture/biggest-rounds-stripe-adept-ai,⚠️ MEGA-ROUND DISTORTION: $6.5B = ~15% of all 2023 FinTech funding. Raised to cover employees' stock option tax bills. Valuation dropped from $95B peak to $50B. Largest single FinTech round of 2023 by far.
mega_deal,2023,Q4,Ramp,300,,October 2023,Expense Management / Corporate Card,USA,Thrive Capital; Sands Capital; General Catalyst; Founders Fund,Series D (Down-Round),Crunchbase News — The Week's 10 Biggest Funding Rounds: Axiom Space,https://news.crunchbase.com/venture/biggest-funding-rounds-biotch-artificial-intelligence-space-axiom,⚠️ DOWN-ROUND: Valued at $5.8B — down 28% from prior $8.1B valuation. Broader trend of 2022-2023 fintech valuation correction.
mega_deal,2024,Q4,One (Walmart FinTech),300,,December 2024,Neobank / Payments,USA,Walmart; Ribbit Capital,Undisclosed,Crunchbase News — The Week's Biggest Funding Rounds: Fintechs Big Week,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-one-liquid-ai,"Valued at $2.5B. Offers installment loans, debit cards, and payments services. Walmart's strategic push into financial services."
mega_deal,2024,Q4,Zest AI,200,,December 2024,AI Credit Underwriting,USA,Insight Partners,Growth Investment,Crunchbase News — The Week's Biggest Funding Rounds: Fintechs Big Week,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-one-liquid-ai,AI-powered credit underwriting and fraud protection. Cumulative funding ~$358M.
mega_deal,2025,UNCONFIRMED (2025),Point,2500,,2025,Trading / Investment Platform,USA,Undisclosed,Undisclosed,CB Insights — State of Fintech 2025 (via FintechNews.ch),https://fintechnews.ch/funding/fintech-secures-11-of-global-venture-funding-second-only-to-ai/81118,⚠️ LIMITED SOURCING: CB Insights named Point's $2.5B round as one of 2025's largest FinTech deals. Quarter and lead investor not confirmed in retrieved sources. Verify before use.
mega_deal,2025,Q1,Rapyd,500,,March 2025,Payments Infrastructure / FinTech,UK,Undisclosed,Undisclosed,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025,UK payments platform. Described as one of 2025's 'sizeable deals' per Crunchbase year-end 2025 article.
mega_deal,2025,Q2,Plaid,575,,Q2 2025,Banking API / Embedded Finance,USA,Franklin Templeton,Common Stock Sale,CB Insights — State of Fintech Q2 2025 / TechCrunch,https://www.cbinsights.com/research/report/state-of-fintech-q225-report,API connecting bank accounts to financial applications. Valued at $6.1B post-round. Largest Q2 2025 FinTech deal per CB Insights.
mega_deal,2025,Q2,Rippling,450,,May 2025,HR / Payroll / FinTech,USA,Undisclosed,Series G,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025,"HR, payroll, and spend management platform. Series G at significant valuation uplift."
mega_deal,2025,Q2,Airwallex,300,,May 2025,Business Payments / Cross-Border,Australia / USA,Undisclosed,Series F,Crunchbase News — The Weeks Biggest Funding Rounds: Fintech AI Airwallex,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-ai-airwallex,$150M equity + $150M secondary. Valued at $6.2B. International business payments platform.
mega_deal,2025,Q3,Ramp,500,,July 2025,Expense Management / Corporate Card,USA,Undisclosed,Series E-2,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025,Valued at $22.5B. Large late-stage raise reflecting strong corporate spend management demand.
mega_deal,2025,Q3,Wealthsimple,538,,H2 2025,Wealth Management / Robo-Advisory,Canada,Dragoneer Investment Group; GIC,Equity Funding,KPMG Pulse of Fintech H2 2025,https://assets.kpmg.com/content/dam/kpmgsites/xx/pdf/2026/02/pulse-of-fintech-h2-2025.pdf,Leading Canadian digital wealth management platform. Largest wealthtech deal of H2 2025 per KPMG.
