record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
annual_total,2022,Full Year,,14000,NOT STATED IN SOURCE,Full Year 2022,"Cleantech / Sustainability / EV (Crunchbase equity-only, global)",Global,,,Crunchbase News — Global Sustainability-Focused Funding Was Pretty Flat In 2023 (Dec 2023 — implies 2022 was roughly equal to 2023 at ~$14B),https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"Crunchbase Dec 2023 article: '2023 on track to come in roughly even with last year [2022]' when 2023 was $13.9B. Therefore 2022 ≈ $14B. Also corroborated by: 'cleantech still experienced nearly 30% growth in venture funding between 2021 and 2022' (if 2021 ≈ $11B, then 30% growth = $14.3B). ⚠️ NOTE: HolonIQ separately reported '$70B+ climate tech VC in 2022' using a MUCH broader definition that includes all climate-adjacent investing. The Crunchbase $14B figure is equity VC only in narrowly defined sustainability/cleantech/EV categories — not comparable to HolonIQ or BloombergNEF figures."
annual_total,2023,Full Year,,13900,NOT STATED IN SOURCE,Full Year 2023,"Cleantech / Sustainability / EV (Crunchbase equity-only, global)",Global,,,Crunchbase News — Global Sustainability-Focused Funding Was Pretty Flat In 2023 (Dec 2023),https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"Crunchbase: 'global investors have poured approximately $13.9 billion this year into companies working on everything from battery recycling to water-conserving crops.' Described as 'roughly flat' vs 2022. Battery sector dominated: Verkor $2.1B + Northvolt $1.2B convertible + Redwood Materials $1B + Ascend Elements $460M. ⚠️ This figure captures equity rounds in Crunchbase sustainability categories. Does NOT include debt/project finance (e.g., Redwood Materials' $2B conditional DoE loan not counted here)."
annual_total,2024,Full Year,,24000,NOT STATED IN SOURCE,Full Year 2024,Cleantech / EV / Sustainability (Crunchbase — all stages including some project finance),Global,,,Crunchbase News — Clean Tech Section (year-end 2024 reference); 2024 Funding Pacific Fusion Intersect Power (Dec 2024),https://news.crunchbase.com/sections/clean-tech-and-energy,"Crunchbase section: 'This year, investors put just over $24 billion across all stages into startups in Crunchbase's cleantech, electric vehicle and sustainability-related [categories].' ⚠️ SCOPE WIDENING: This $24B figure uses 'all stages' including project finance / debt and broader EV category vs the $13.9B equity-only 2023 figure — the figures are NOT directly comparable. Same article: '2024 was a comparatively weak year for cleantech equity funding with global investment looking set to hit its lowest point in four years.' The equity-only H1 2024 figure was $9.6B (down 10% from H1 2023). H2 2024 included Northvolt $5B project finance (Jan 2024 actually H1) and other debt deals."
annual_total,2025,Full Year,,20000,17 rounds ≥$100M through Oct 2025,Full Year 2025 (through Oct 2025 confirmed; year-end est ~$22-24B),Cleantech / EV / Sustainability (Crunchbase — all stages),Global,,,Crunchbase News — Crunchbase Sector Snapshot: Cleantech Isnt Having A Great Year (Oct 27 2025),https://news.crunchbase.com/clean-tech-and-energy/2025-startup-venture-funding-down/,"Crunchbase Oct 2025: 'Investors put an estimated $20 billion into seed- through growth-stage funding to companies in cleantech, EV and sustainability-related categories so far this year. That puts 2025 funding on track to come in well below last year's levels. We've seen 17 rounds of $100M+ to cleantech/sustainability in 2025 — more than a third fewer than same period last year.' Trump admin cancellation of DOE grants added to headwinds. BloombergNEF separately reported '$56B in first 9 months of 2025' for ALL climate investment (much broader: public+private, equity+debt, all climate). Crunchbase $20B is VC equity-startup only."
mega_deal,2022,Q2,Northvolt,2800,,June 2022,Battery Manufacturing / Clean Energy Production,Sweden,Multiple institutional — Goldman Sachs; Volkswagen; others,Debt and Equity,Crunchbase News — Battery Tech And Fusion Dominate Big Energy Tech Funding Rounds (Mar 2022 — references $2.8B June 2022 financing),https://news.crunchbase.com/business/battery-fusion-clean-energy-tech-startups-venture/,"'Northvolt is by far the largest recent funding recipient, raising $2.8 billion in a June financing.' Lithium-ion battery manufacturer using clean energy in production. ⚠️ Northvolt filed for bankruptcy November 2024 after failing to achieve production scale despite $15B+ in lifetime funding."
mega_deal,2022,Q3,Redwood Materials,750,,Q2/Q3 2022,Battery Recycling / Circular EV Supply Chain,USA,Goldman Sachs; T. Rowe Price; Capricorn Investment Group,Series C,Crunchbase News — Battery Tech And Fusion Dominate Big Energy Tech Funding Rounds,https://news.crunchbase.com/business/battery-fusion-clean-energy-tech-startups-venture/,"'Redwood Materials, a startup building a closed-loop supply chain for electric vehicles, pulled in $750 million in funding since last summer.' Founded by former Tesla CTO JB Straubel. Later raised $1B Series D in August 2023."
mega_deal,2022,Q2,Silicon Ranch,600,,Q2 2022,Utility-Scale Solar Energy,USA,Undisclosed,Equity,Understory Newsletter — 2022 Climate Tech Funding Recap,https://understory.substack.com/p/139-2022-climate-tech-funding-almost,Solar energy company raised $600M round in 2022. One of the notable 2022 climate rounds outside the battery sector.
mega_deal,2022,Q3,Generate Capital,1500,,Q3 2022,Climate Infrastructure / Sustainable Infrastructure Investment,USA,Undisclosed,Debt + Equity (Infrastructure),Crunchbase News — The Weeks 10 Biggest Funding Rounds: Bigger Financing Led By AI And Defense (references Generate $1.5B),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-defense-anthropic-epirus/,Crunchbase weekly 'Lots of big rounds this week with none bigger than the whopping $1.5 billion raised by sustainability and infrastructure investment firm Generate.' Generate Capital funds clean energy and sustainable infrastructure projects across multiple asset classes.
mega_deal,2023,Q3,Verkor,2100,,September 2023,Battery Manufacturing / EV Battery Gigafactory,France,Meridiam; Renault; Schneider Electric; EIT InnoEnergy,Series C + Debt (combined),Crunchbase News — Global Sustainability-Focused Funding Was Pretty Flat In 2023 (Dec 2023),https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"'Most heavily funded [of 2023]: Verkor, a French startup focused on low-carbon battery manufacturing, raised $2.1 billion in debt and equity financing in September, including a $900 million Series C.' Plans to open first gigafactory in 2025. Backed by EU industrial consortium."
mega_deal,2023,Q3,Northvolt,1200,,August 2023,Battery Manufacturing,Sweden,Undisclosed institutional,Convertible Note,Crunchbase News — The 10 Biggest Rounds Of August: Redwood And Peregrine (Aug 2023),https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Stockholm-headquartered Northvolt raised a $1.2 billion convertible note in late August.' One of multiple 2022-2023 Northvolt raises totalling $15B+. ⚠️ Northvolt filed for bankruptcy November 2024.
