record_type,funding_type,sector_unified,year,quarter,company_name,amount_usd_millions,deal_count,date_announced,round_type,lead_investors,agency,program_name,original_category_tags,description,country,source_database,source_name,source_url,notes
annual_total,Growth VC,Defense,2022,Full Year,,2600,113,Full Year 2022,,,,,defense tech; military; national security; law enforcement,VC funding to defense tech startups in 2022 per Crunchbase (military/national security/law enforcement definition). Anduril $1.5B Series E (Dec 2022) was the catalyst for the sector. Previous record before 2024.,,Crunchbase,Crunchbase News — Defense Tech Funding Sets New Record 2024 (Nov 2024 lookback),https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,⚠️ SCOPE FLAG: Crunchbase 'defense tech' (military/national security/law enforcement) = $2.6B. PitchBook 'aerospace & defense' = ~$35B for 2023 per TechCrunch — fundamentally different scope. Bain uses broader definition. Do NOT compare Crunchbase and PitchBook figures without normalizing scope.
annual_total,Growth VC,Defense,2023,Full Year,,2700,100,Full Year 2023,,,,,defense tech; military; national security; law enforcement,VC funding to defense tech startups in 2023 per Crunchbase. Shield AI $500M was the largest single round. Anduril's $1.5B December 2022 round catalyzed a 'gold rush' of defense VC that materialized through 2023.,,Crunchbase,Crunchbase News — Defense Tech Funding Growth YIR 2024,https://news.crunchbase.com/venture/defense-tech-funding-growth-yir-2024/,Steady growth from $2.6B (2022) to $2.7B (2023). Shield AI $500M alone = 18.5% of annual total. TechCrunch separately reported 'Silicon Valley pumped ~$35B into defense tech in 2023' per PitchBook broader scope — NOT comparable.
annual_total,Growth VC,Defense,2024,Full Year,,3000,102,Full Year 2024,,,,,defense tech; military; national security; law enforcement; autonomous systems,"VC funding to defense tech startups in 2024 per Crunchbase — new record, 11% increase from 2023. Anduril $1.5B = 50% of the annual total. 'Investors have become far more intelligent about defense in the last few years.' — CEO, Mach Industries.",,Crunchbase,Crunchbase News — Defense Tech Funding Growth YIR 2024,https://news.crunchbase.com/venture/defense-tech-funding-growth-yir-2024/,Bain separately: '$6.7B cumulative invested capital in 2024.' PitchBook defense VC $10B est. full-year 2025. None of these are the same dataset.
annual_total,Growth VC,Defense,2025,Full Year (estimated per PitchBook Oct 2025),,10000,UNCONFIRMED,Full Year 2025,,,,,defense tech; military; autonomous systems; AI weapons; unmanned systems,"PitchBook (Oct 2025): Global VC defense tech deal value at $7.7B through mid-year, on pace for $10B full year — more than double 2024. Business Insider: 'Aerospace and defense startups raised $19B in 2025' per PitchBook (broader scope including aerospace).",,PitchBook,PitchBook — The Iron Bubble: Why Defense Tech Might Not Be Overhyped (Oct 2025),https://pitchbook.com/news/articles/the-iron-bubble-why-defense-tech-might-not-be-overhyped,⚠️ METHODOLOGY CHANGE: $10B (PitchBook VC defense 2025) vs $3B (Crunchbase 2024) are DIFFERENT datasets. Do NOT compare without normalizing. PitchBook's scope is broader than Crunchbase. $19B Business Insider figure = PitchBook 'aerospace & defense' — much broader.
mega_deal,Growth VC,Defense,2022,Q4,Anduril Industries,1480,,December 2022,Series E,Founders Fund (co-lead); Valor Equity Partners; Lux Capital; 8VC; Marlinspike,,,defense tech; autonomous weapons; AI; drones; undersea vehicles; C4ISR; dual-use,"Anduril's Series E — the fourth-largest round raised by a US startup in 2022. Valuation set at $8.5B. Catalyzed the defense VC wave. Products include Lattice AI platform, Fury autonomous fighter jet, autonomous undersea vehicles.",USA,Crunchbase / TechCrunch,TechCrunch — VC Is Opening The Gates For Defense Tech / Crunchbase News,https://techcrunch.com/2023/09/30/vc-defense-tech/,"This single round = 57% of the entire 2022 Crunchbase defense tech annual total ($2.6B). ⚠️ Anduril sits at Space/Defense intersection: makes autonomous aircraft (Fury), drones, and undersea vehicles."
mega_deal,Growth VC,Defense,2022,Q4,Shield AI,225,,October 2022,Series E,Riot Ventures; US Innovative Technology Fund (Thomas Tull),,,defense tech; AI pilots; autonomous drones; C4ISR; autonomy,AI-powered autonomous drone pilot system. Hivemind software enables aircraft to operate autonomously in high-threat environments without GPS or communications. Valued at $2.7B post-round.,USA,Crunchbase,TechCrunch — Private Investment In Space Dropped 58% (Jan 2023),https://techcrunch.com/2023/01/19/private-investment-in-space-dropped-58-last-year-even-with-spacex-anduril-monster-raises,"Shield AI Q4 2022 Series E. Later raised $200M Series F in October 2023 + $300M debt addition, then $240M F-1 in March 2025."
mega_deal,Growth VC,Defense,2022,Q4,Rebellion Defense,150,,Q4 2022,Series C,8VC (Joe Lonsdale),,,defense tech; AI software; DoD; national security; government software,AI software platform for national security and DoD decision-making. Builds data analytics and AI tools for intelligence and defense agencies.,USA,Defense Tech Investors / Crunchbase,Defense Tech Investors — Ellty 2025 (references $150M Series C 2022),https://www.ellty.com/blog/defense-tech-investors,Exact close date Q4 2022 — verify primary source for exact month.
mega_deal,Growth VC,Defense,2023,Q4,Shield AI,200,,October 2023,Series F,Riot Ventures; US Innovative Technology Fund,,,defense tech; AI pilots; autonomous drones; autonomy; C4ISR; Hivemind,AI-powered autonomous drone pilot system. Valued at $2.7B. Hivemind software enables aircraft to operate without GPS or communications. 'It later added another $300M in debt and equity to the round.' — Crunchbase,USA,Crunchbase,Crunchbase News — The 10 Biggest Rounds Of March 2025 (references Oct 2023 Series F),https://news.crunchbase.com/venture/biggest-rounds-march-2025-ai-it-fintech/,The $200M Series F (October 2023) had an additional $300M in debt + equity added — some of that addition likely closed in 2024. Combined round total: $500M.
mega_deal,Growth VC,Defense,2023,Q4,Gecko Robotics,100,,December 2023,Series C Extension,US Innovative Technology Fund; Founders Fund,,,defense tech; robotics; critical infrastructure; inspection; dual-use,"Creates robots to assess the safety and condition of critical infrastructure (power plants, pipelines, ships). Strong dual-use Defense/Commercial positioning.",USA,Crunchbase,Crunchbase News — Defense Tech Funding Slows At Start Of Year,https://news.crunchbase.com/ai/defense-military-ai-tech-startups-vc-funding-anduril-shield-ai/,Prior $73M Series C in March 2022. December 2023 extension adds $100M. Defense-critical infrastructure inspection.
mega_deal,Growth VC,Defense,2024,Q3,Anduril Industries,1500,,August 2024,Series F,Founders Fund; Sands Capital Ventures,,,defense tech; autonomous weapons; AI; drones; undersea vehicles; autonomous aircraft; Lattice AI,Valuation jumped to $14B (from $8.5B). Company doubled revenue to ~$500M in 2023. Funding to 'hyper-scale' manufacturing of autonomous weapons including Fury (autonomous fighter jet) and autonomous undersea vehicles.,USA,Crunchbase / TechCrunch,TechCrunch — Anduril Raises $1.5B To Hyper-Scale Defense Production,https://techcrunch.com/2024/08/07/anduril-raises-1-5b-to-hyper-scale-defense-production,Anduril $1.5B = 50% of the Crunchbase annual defense total ($3B) for 2024. US Army $22B AR/VR headset contract (originally Microsoft's) reassigned to Anduril in Feb 2025.
