company,year,quarter,amount_usd_m,subsector_group,capital_type,counted_vc_equity,data_center_link,recipient_type,source_url,note
Fervo Energy,2024,Q1,244,Geothermal,VC/corporate equity,yes,general,startup,https://fervoenergy.com/fervo-energy-raises-244-million-to-accelerate-deployment-of-next-generation-geothermal/,Devon Energy led
Exowatt,2024,Q2,20,Solar/Storage,VC equity,yes,explicit,startup,https://www.exowatt.com/news/exowatt-launches-with-20-million-to-modernize-data-center-power-for-the-ai-era,Seed; a16z/Atomic/Sam Altman; behind-the-meter for AI data centers
Pacific Fusion,2024,Q4,900,Fusion,VC commitments (milestone),no,general,startup,https://www.axios.com/newsletters/axios-pro-rata-03d9ad43-9475-45d1-9c41-dfea03378a54,>$900M commitments; <$100M upfront -- excluded from clean VC total (fuzzy)
Oklo,2024,Q2,306,Nuclear,public-market (SPAC),no,general,startup,https://oklo.com/newsroom/news-details/2024/Oklo-Inc.-Begins-Trading-on-the-New-York-Stock-Exchange/default.aspx,"SPAC proceeds, not VC; cites AI/data-center customers"
Kairos Power,2024,Q1,303,Nuclear,federal award (DOE),no,general,startup,https://www.kairospower.com/updates/u-s-department-of-energy-and-kairos-power-execute-novel-performance-based-fixed-price-milestone-contract,"DOE up to $303M; federal award, not VC"
Intersect Power,2024,Q4,800,Solar/Storage,growth/strategic equity,no,explicit,growth-stage,https://www.tpg.com/news-and-insights/intersect-power-forms-strategic-partnership-with-google-and-tpg-rise-climate-to-co-locate-data-center-load-and-clean-power-generation,>$800M; TPG Rise Climate + Google; co-located data-center power; excluded from startup-VC bar
X-energy,2024,Q4,500,Nuclear,strategic (announcement),no,explicit,startup,https://x-energy.com/news/amazon-invests-in-x-energy-to-support-advanced-small-modular-nuclear-reactors-and-expand-carbon-free-power/,Q4 2024 announcement; round closed $700M in Q1 2025 (counted there) -- NOT double-counted
X-energy,2025,Q1,700,Nuclear,strategic/VC equity,yes,explicit,startup,https://x-energy.com/news/x-energy-closes-upsized-700-million-series-c-1-financing-round-to-accelerate-the-development-of-advanced-small-modular-nuclear-technology/,"Series C-1 final close (upsized); Amazon-anchored, ~5GW for data centers by 2039"
X-energy,2025,Q4,700,Nuclear,VC/growth equity,yes,general,startup,https://x-energy.com/news/x-energy-closes-oversubscribed-700-million-series-d-financing-round-to-continue-expansion-to-meet-global-energy-demand/,Series D (~$700M); Jane Street led
TerraPower,2025,Q2,650,Nuclear,strategic/PE,yes,general,startup,https://www.terrapower.com/terrapower-announces-650-million-fundraise,"NVentures, Bill Gates, HD Hyundai; advanced nuclear + storage"
Helion,2025,Q1,425,Fusion,VC/PE,yes,general,startup,https://www.helionenergy.com/articles/announcing-helions-425m-series-f,"Series F oversubscribed; Lightspeed, SoftBank Vision Fund 2; Microsoft offtake context"
Commonwealth Fusion Systems,2025,Q3,863,Fusion,VC/PE,yes,explicit,startup,https://www.cfs.energy/news-and-media/commonwealth-fusion-systems-raises-863-million-series-b2-round-to-accelerate-the-commercialization-of-fusion-energy/,Series B2; Google investor/offtaker
Fervo Energy,2025,Q4,462,Geothermal,VC/PE,yes,general,startup,https://fervoenergy.com/fervo-energy-raises-462-million-series-e-to-accelerate-geothermal-development-and-meet-surging-energy-demand-with-clean-firm-power/,Series E; B Capital led; Google investor
Exowatt,2025,Q2,35,Solar/Storage,VC equity (of $70M; $35M eq + $35M debt),yes,explicit,startup,https://www.exowatt.com/news/exowatt-closes-70-million-in-series-a-funding-to-deploy-and-scale-the-exowatt-p3,Series A; only $35M equity portion counted; Felicis led
Exowatt,2025,Q4,50,Solar/Storage,private (split undisclosed),no,explicit,startup,https://www.exowatt.com/blog/50m-in-additional-funding-to-accelerate-u-s-dispatchable-solar-for-the-ai-era,Extension; equity/debt split undisclosed -- excluded from equity-only total
