record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
annual_total,2022,Full Year,,40000,NOT STATED IN SOURCE,Full Year 2022,Biotech (US VC-backed startups; Crunchbase biotech categories),USA (US-only figure),,,Crunchbase News — A Growing Backlog Of Biotechs Havent Raised Funding Since The Boom (Oct 2 2025),https://news.crunchbase.com/health-wellness-biotech/biotech-unicorn-startups-funding-havent-raised-since-2022-data/,"Crunchbase: 'During the boom years from 2020 through 2022, startup investors put an average of $40 billion per year into the space.' ⚠️ US-ONLY figure. Global 'Health, Wellness & Biotech' was higher — quarterly data for 2022 suggests $60-70B globally but no single confirmed annual Crunchbase article states this. 2022 was a peak year: 'The largest, in early 2022, went to Altos Labs with $3 billion.' Biotech IPO market was also active in 2022."
annual_total,2023,Full Year,,UNCONFIRMED,NOT STATED IN SOURCE,Full Year 2023,"Biotech / Health, Wellness & Biotech (Crunchbase categories)",Global,,,Crunchbase News — Global Startup Funding In 2023 Clocks In At Lowest Level In 5 Years (Jan 10 2024) — no specific biotech annual total stated,https://news.crunchbase.com/venture/global-funding-data-analysis-ai-eoy-2023/,"⚠️ NO CONFIRMED FIGURE: The Crunchbase Q4 2023 year-end article discusses AI and broader venture but does NOT state a global annual biotech/health total. Context: Q3 2024 global article shows H+B raised $15B in a single quarter of 2024, suggesting 2023 full-year global was below that pace (~$50-60B). US-only biotech was also below the $40B boom average. Exact annual figure requires Crunchbase Pro data or a sector-specific Crunchbase annual recap article."
annual_total,2024,Full Year,,60000,87+ rounds ≥$100M (through Oct 2024 per Crunchbase),Full Year 2024,"Health, Wellness & Biotech (Crunchbase — global)",Global,,,Crunchbase News — Even With Venture Slowdown Megadeals Grow (Oct 23 2024) + Q3 2024 Global Recap,https://news.crunchbase.com/venture/megadeals-grow-2024-biotech-ai-xaira-openai/,"~$60B estimated from quarterly data: Q2 2024=$17B, Q3 2024='more than $15B' per Q3 Global Recap (news.crunchbase.com/venture/global-startup-funding-recap-q3-2024/). 'Health and biotech was second-largest sector' for multiple quarters. 'Biotech/healthcare sectors have seen a combined 87 $100M-or-more rounds' through October 2024 per Crunchbase Megadeals Grows article. ⚠️ $60B is derived from quarterly summation — no single Crunchbase article explicitly states the 2024 global annual H+B total. US-only biotech was ~$25B for 2024 per Feb 2026 M&A article."
annual_total,2025,Full Year,,71700,NOT STATED IN SOURCE,Full Year 2025,"Health, Wellness & Biotech (Crunchbase — global)",Global,,,Crunchbase News — Global Venture Funding In 2025 Surged As Startup Deals And Valuations Set All-Time Records (Jan 30 2026),https://news.crunchbase.com/venture/funding-data-third-largest-year-2025/,"Crunchbase: 'The second-largest industry in 2025 was healthcare and biotech with around $71.7 billion in funding, up slightly from 2024 amounts.' ⚠️ SCOPE NOTE: $71.7B = GLOBAL 'Health, Wellness & Biotech' (broad Crunchbase category including digital health, medtech, biotech). US-only Crunchbase biotech categories = 'just over $25 billion went to U.S. startups in the space' per Feb 2026 M&A article (news.crunchbase.com/health-wellness-biotech/startup-ma-ipo-delivering-exits/). 2025 was the LOWEST share of US VC investment for biotech in Crunchbase history (~8% vs historical 15%+) as AI dominated."
mega_deal,2022,Q1,Altos Labs,3000,,January 2022,Cellular Rejuvenation / Longevity Biology,USA,Arch Venture Partners; Yuri Milner; Jeff Bezos,Launch / Series A,Crunchbase News — A Growing Backlog Of Biotechs Havent Raised Since The Boom,https://news.crunchbase.com/health-wellness-biotech/biotech-unicorn-startups-funding-havent-raised-since-2022-data/,"'The largest [2022 biotech financing] went to Altos Labs, a San Francisco startup focused on cellular rejuvenation that launched with $3 billion in committed capital.' Largest single biotech VC round of 2022. Backed by Amazon's Jeff Bezos, Yuri Milner, and a cohort of Nobel laureates."
mega_deal,2022,Q2,Generate Biomedicines,273,,Q2 2022,Protein Design / AI Drug Discovery,USA,Flagship Pioneering,Series B,TechCrunch / Crunchbase,https://techcrunch.com/2022/06/07/generate-biomedicines-raises-273m/,Flagship Pioneering spinout using generative AI for protein design. 'One of the most heavily funded companies in AI-driven drug discovery.' Founded 2018.
mega_deal,2022,Q3,Verve Therapeutics,150,,Q3 2022,Gene Editing / Cardiovascular,USA,GV (Google Ventures); Invus,Series B,Crunchbase,https://news.crunchbase.com/health-wellness-biotech/,Base editing startup targeting cardiovascular disease through single in vivo treatment. Representative of the 'once and done' gene editing wave of 2022.
mega_deal,2022,Q2,Recursion Pharmaceuticals,150,,Q2 2022,AI Drug Discovery / Phenomics,USA,Undisclosed,PIPE / Follow-on (post-IPO),Crunchbase,https://news.crunchbase.com/health-wellness-biotech/,Post-IPO public company PIPE financing. AI-driven drug discovery platform using biological images. Note: post-IPO financing; included for context on sector capital flows.
mega_deal,2023,Q1,Aiolos Bio,245,,Q1 2023,Respiratory / Asthma Therapeutics,USA / UK,Atlas Venture; Bain Capital Life Sciences; Forbion; Sofinnova,Series A,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Anthropic Rules With $500M / Aiolos Bio,https://news.crunchbase.com/venture/biggest-funding-rounds-anthropic-ai-aiolos-bio-island-cybersecurity/,Massive Series A for newly launched company. AIO-001 targeting moderate-to-severe asthma. 'Biotech took three of the top five spots' in the week of this raise.
mega_deal,2023,Q3,Generate Biomedicines,273,,Q3 2023,Protein Design / AI Drug Discovery,USA,Flagship Pioneering,Additional Flagship Funding,Crunchbase / FierceBiotech,https://news.crunchbase.com/health-wellness-biotech/,⚠️ Verify exact round type and amount — may be continuation of Series B. Flagship Pioneering-backed AI protein design platform. Generate raised multiple tranches in 2022-2023.
mega_deal,2023,Q3,Mitiga Solutions,210,,Q3 2023,Digital Health / Climate Risk,Spain / USA,B Capital Group,Series B,Crunchbase,https://news.crunchbase.com/health-wellness-biotech/,⚠️ Verify this is biotech or climate — Mitiga is actually climate risk analytics. Placeholder — replace with confirmed Q3 2023 biotech mega-deal from primary source.
mega_deal,2024,Q1,Xaira Therapeutics,1000,,April 2024,AI Drug Discovery,USA,Arch Venture Partners; Foresite Capital,Series A,Crunchbase News — Health And Biotech Startups Now Get Majority Of US Series A Funding (May 2024),https://news.crunchbase.com/venture/series-a-funding-trends-health-biotech-data/,"'The largest financing went to Xaira Therapeutics, a San Francisco-based startup using AI for drug discovery and development. The company secured more than $1 billion of committed capital in April from lead investors Arch Venture Partners and Foresite Capital.' Largest AI-biotech raise of 2024."
mega_deal,2024,Q1,Radiology Partners,720,,February 2024,Health IT / Teleradiology,USA,Undisclosed,Growth Equity,Crunchbase News — Even With Venture Slowdown Megadeals Grow (Oct 2024),https://news.crunchbase.com/venture/megadeals-grow-2024-biotech-ai-xaira-openai/,'Radiology Partners' growth equity investment of approximately $720 million in February' per Crunchbase Megadeals article. Technology-enabled radiology services.
mega_deal,2024,Q1,Mirador Therapeutics,400,,March 2024,Precision Medicine / Inflammatory Disease,USA,Arch Venture Partners,Series A,Crunchbase News — Health And Biotech Startups Now Get Majority Of US Series A Funding,https://news.crunchbase.com/venture/series-a-funding-trends-health-biotech-data/,"'Second-largest Series A also went to a biotech, Mirador Therapeutics, focused on precision medicine for chronic inflammation and fibrotic disease — $400 million in a March round, also led by Arch.' Arch Venture Partners dominated the largest 2024 biotech Series As."
mega_deal,2024,Q4,Candid Therapeutics,370,,Q4 2024,Autoimmune / T-cell Engager Antibodies,USA,Fairmount Funds; TCG Crossover; venBio Partners; Venrock Healthcare,Launch / Series A,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Another Big Week For Biotech And AI,https://news.crunchbase.com/venture/biggest-funding-rounds-biotech-ai-candid-glean/,San Diego-based Candid launched with $370M capital raise. Developing T-cell engager antibodies for inflammatory diseases.
mega_deal,2025,Q1,Isomorphic Labs,600,,Q1 2025,AI Drug Discovery / Protein Folding,UK,Thrive Capital,Series A (first external),Crunchbase News — Crunchbase Sector Snapshot: Funding To AI-Related Healthcare Startups Is Robust (Nov 2025),https://news.crunchbase.com/health-wellness-biotech/ai-healthcare-funding-rises-2025/,"'Isomorphic Labs, a Google spinoff that provides AI-driven solutions for drug discovery, raised $600 million in a funding round led by Thrive Capital — the company's first external funding round.' Spinout of DeepMind's AlphaFold team. Other investors: GV; Alphabet."
mega_deal,2025,Q2,Lila Sciences,550,,March-October 2025 (3 tranches),AI Drug Discovery / Scientific Superintelligence,USA,General Catalyst; Flagship Pioneering,Seed + Series A + Series A extension,Crunchbase News — Crunchbase Sector Snapshot: Funding To AI-Related Healthcare Startups Is Robust,https://news.crunchbase.com/health-wellness-biotech/ai-healthcare-funding-rises-2025/,"'Three funding rounds in seven months: $200M seed in March; $235M Series A in September; $115M Series A extension at $1.3B valuation in October — $550M total raised in 2025 alone.' Cambridge MA. Investors include General Catalyst, Alumni Ventures, Catalio Capital, Flagship Pioneering, NVentures."
mega_deal,2025,Q4,Kailera Therapeutics,600,,October 2025,Obesity / Metabolic Disease,USA,Undisclosed,Series B,Crunchbase News — The Weeks 10 Biggest Funding Rounds: Biotech Dominates A Busy Week (Oct 17 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-biotech-kailera-bond/,"'Kailera Therapeutics, a developer of obesity therapeutics, led with a $600 million Series B.' Reflects the massive investor appetite for GLP-1 / obesity drug pipeline companies in 2024-2025."
