record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
annual_total,2022,Full Year,,26600,2891,Full Year 2022,All Web3/Crypto (VC-backed),Global,,,Crunchbase News — Web3 Funding Cratered In 2023,https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023/,Crunchbase defines Web3 = crypto + blockchain VC-backed startups. Galaxy Digital separately reported >$30B for 2022 using broader scope. Source conflict flagged — use one methodology consistently. Crunchbase figures used for all annual totals in this file.
annual_total,2023,Full Year,,6800,1564,Full Year 2023,All Web3/Crypto (VC-backed),Global,,,Crunchbase News — Web3 Funding Cratered In 2023,https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023/,"Crunchbase: 'less than $7 billion going to startups in 1,564 deals.' Lowest since 2020. Galaxy Digital separately reported ~$10B for 2023 (broader scope). Only 8 rounds >$100M in the entire year."
annual_total,2024,Full Year,,7700,1180,Full Year 2024,All Web3/Crypto (VC-backed),Global,,,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024 recap),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024/,"~$7.7B derived from Crunchbase quarterly data: Q1=$1.9B/346 deals + Q2=$2.0B/292 deals + Q3=$2.0B/305 deals + Q4=$1.8B/267 deals. Galaxy Digital separately reported $11.5B / 2,153 deals for 2024 (broader equity VC scope). Verify annual figure from primary Crunchbase annual recap."
annual_total,2025,Q1 only (confirmed),,3800,220,Q1 2025 only,All Web3/Crypto (VC-backed),Global,,,Crunchbase News — Crypto And Blockchain Funding Sees Big Boost In Q1 Thanks To Binance,https://news.crunchbase.com/web3/crypto-blockchain-funding-q1-2025-boost-binance/,"⚠️ ONLY Q1 2025 Crunchbase confirmed: $3.8B in 220 deals (+138% QoQ). Q1 heavily distorted by Binance $2B; ex-Binance = $1.8B. Full-year 2025 Crunchbase Web3 figure not yet found — DL News/DefiLlama reported total crypto company funding >$25B for 2025 (broader scope including non-VC). Galaxy reported $19.52B across 1,233 deals for 2025 (equity VC scope)."
mega_deal,2022,Q1,Fireblocks,550,,January 2022,Institutional Crypto Infrastructure,USA,Sequoia Capital,Series E,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,"Valued at $8B. Clients include BNY Mellon, Galaxy Digital. Cumulative funding reached $799M."
mega_deal,2022,Q1,FTX US,400,,January 2022,Crypto Exchange,USA,Paradigm; Temasek; Multicoin Capital,Series A,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $8B. ⚠️ Collapsed November 2022 alongside FTX International.
mega_deal,2022,Q1,FTX International,400,,January 2022,Crypto Exchange,Bahamas,Paradigm; Temasek; SoftBank,Series C,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $32B. ⚠️ Collapsed November 2022 in one of largest crypto fraud cases in history.
mega_deal,2022,Q1,Animoca Brands,358,,January 2022,Gaming / NFT / GameFi,Hong Kong,Liberty City Ventures,Series A,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $5B. Focus on GameFi / play-to-earn.
mega_deal,2022,Q1,NEAR Protocol,150,,January 2022,L1 Blockchain,USA,Multiple undisclosed,Private Placement,CoinDesk — NEAR raises $150M from major crypto investment firms,https://www.coindesk.com/business/2022/01/13/near-raises-150m-from-major-crypto-investment-firms,First of two large 2022 rounds. Followed by $350M ecosystem fund in April 2022.
mega_deal,2022,Q1,Aleo,200,,February 2022,Privacy Blockchain (ZK),USA,Kora Management LP; SoftBank; a16z,Series B,CoinEx Medium — Six blockchain projects that raised over $100M in 2022,https://coinex.medium.com/six-blockchain-projects-that-raised-over-100-million-in-2022-will-they-be-the-ideal-investment-f27762cc998c,Zero-knowledge proof privacy chain. Mainnet remained in testnet phase through 2022.
mega_deal,2022,Q1,Polygon,450,,February 2022,L2 Blockchain / Scaling,India,Sequoia Capital India; Tiger Global; SoftBank,Private Placement,TechCrunch — Polygon raises $450M from Sequoia India SoftBank Tiger Global / Fortune,https://techcrunch.com/2022/02/07/polygon-raises-450m-from-sequoia-capital-india-softbank-and-tiger-global,L2 Ethereum scaling. Valued at ~$13B. One of three $450M rounds in Q1 2022.
mega_deal,2022,Q1,Alchemy,200,,February 2022,Blockchain Developer Platform,USA,Lightspeed Venture Partners; Silver Lake,Series C,TechCrunch — Alchemy raises $200M valued at $10.2B,https://techcrunch.com/2022/02/08/alchemy-which-aims-to-be-the-de-facto-platform-for-developers-to-build-on-web3-raises-another-200m-and-is-now-valued-at-10-2b,Valued at $10.2B. Positioned as AWS/Azure of blockchain.
