record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
annual_total,2022,Full Year,,45800,NOT STATED IN SOURCE,Full Year 2022,All AI / Artificial Intelligence (Crunchbase AI industry group),Global,,,Crunchbase News — Global Startup Funding In 2023 Clocks In At Lowest Level In 5 Years (Jan 10 2024),https://news.crunchbase.com/venture/global-funding-data-analysis-ai-eoy-2023/,"Crunchbase: 'up 9% from the $45.8 billion invested in 2022.' Pre-ChatGPT-hype year — ChatGPT launched Dec 22 2022, too late to inflate 2022 figures. No single mega-round dominates. AI share of global VC not stated for 2022. Deal count not published in this article."
annual_total,2023,Full Year,,50000,NOT STATED IN SOURCE,Full Year 2023,All AI / Artificial Intelligence (Crunchbase AI industry group),Global,,,Crunchbase News — Global Startup Funding In 2023 Clocks In At Lowest Level In 5 Years (Jan 10 2024),https://news.crunchbase.com/venture/global-funding-data-analysis-ai-eoy-2023/,"Crunchbase: 'Global funding to AI startups reached close to $50 billion last year, up 9% from the $45.8 billion invested in 2022.' Also stated as 'nearly $50 billion' in Jan 2024 Crunchbase AI article. Exact figure not published — using $50B as ceiling. ⚠️ MEGA-ROUND DISTORTION: OpenAI $10B (Jan 2023) = ~20% of annual total. OpenAI + Anthropic + Inflection collectively raised $18B = 36% of the year. 'More than 70 rounds of $100M+' in 2023. Deal count for the full year not stated. H1 2023 AI = $25B / 18% of global funding."
annual_total,2024,Full Year,,114000,~4800-5200 ESTIMATED,Full Year 2024,All AI / Artificial Intelligence (Crunchbase AI industry group),Global,,,Crunchbase News — The State Of Startups In 12 Charts: AI Soars Asia Tanks Seed Stalls And More (Jan 31 2025),https://news.crunchbase.com/venture/startups-ai-seed-investors-data-charts-ye-2024/,"Crunchbase published '$100B' in early 2025 articles ('up more than 80% YoY'). Later articles (Apr 2026) use the revised figure '$114 billion in 2024' after database updates. Use $114B for precision; $100B was the contemporaneous figure. AI = ~1/3 of all global VC in 2024. ⚠️ MEGA-ROUND DISTORTION: Q4 2024 alone = $42B (42% of annual), driven by Databricks $10B + OpenAI $6.6B + xAI $6B + Anthropic $4B from Amazon in a single quarter. Q3 2024 = 1,301 AI deals; Q4 2024 = 1,100 AI deals — full-year count not stated explicitly."
annual_total,2025,Full Year,,211000,NOT STATED IN SOURCE,Full Year 2025,All AI / Artificial Intelligence (Crunchbase AI industry group),Global,,,Crunchbase News — Sector Snapshot: Venture Funding To Foundational AI Startups In Q1 Was Double All Of 2025 (Apr 2 2026),https://news.crunchbase.com/venture/foundational-ai-startup-funding-doubled-openai-anthropic-xai-q1-2026/,Crunchbase: 'Venture funding to AI overall reached $211 billion — up 85% year over year from $114 billion in 2024.' Also stated as '$212 billion' in Crunchbase AI section masthead. AI = ~50% of all global VC in 2025. ⚠️ MEGA-ROUND DISTORTION: OpenAI $40B (March 2025) = ~19% of annual total alone. 15 companies raised $2B+ rounds collectively amassing $100B+ = ~47% of annual total from just 15 companies. Scale AI $14.3B (Q2 2025) was second-largest. Full-year deal count not stated in Crunchbase annual article.
mega_deal,2022,Q3,Stability AI,101,,October 2022,Generative AI / Image Generation,UK,Coatue; Lightspeed Venture Partners,Seed,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023 (Jan 2024 references 2022 raises),https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,Early generative AI raise pre-ChatGPT. 'London-based AI-driven visual art startup Stability AI raised big funding' in late 2022 per Crunchbase. Valued at $1B. Company later faced financial distress in 2023-2024.
mega_deal,2022,Q4,Jasper,125,,October 2022,AI Content Generation / LLM Applications,USA,Insight Partners; Coatue; Bessemer,Series A,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,"'Austin, Texas-based AI content platform Jasper raised big funding' in late 2022 per Crunchbase. Valued at $1.5B. One of the pre-ChatGPT AI content wave raises."
mega_deal,2022,Q4,Cohere,125,,November 2022,Foundation Model / LLM Infrastructure,Canada,Tiger Global,Series B,TechCrunch / Crunchbase,https://techcrunch.com/2022/11/08/cohere-raises-125m-at-2-1b-valuation/,Enterprise-focused LLM platform. Valued at $2.1B. One of the pre-ChatGPT foundation model raises.
mega_deal,2023,Q1,OpenAI,10000,,January 2023,Foundation Model / Generative AI,USA,Microsoft,Strategic Investment,Crunchbase News — AI Was Q2 Big Hope To Reverse Global Venture Funding Slowdown,https://news.crunchbase.com/venture/vc-funding-falling-report-data-q2-2023-global/,⚠️ MEGA-ROUND DISTORTION: Single largest AI round of 2023 = ~20% of the entire $50B annual total. 'Companies categorized as AI raised $25B in H1 2023 — includes the $10B funding to OpenAI led by Microsoft in January.' Microsoft multi-year partnership investment. ChatGPT had launched Dec 2022 six weeks earlier.
mega_deal,2023,Q1,Anthropic,300,,May 2023,Foundation Model / Generative AI (Safety-focused),USA,Spark Capital,Series C,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,Pre-investment valuation $4.1B per Crunchbase. Claude AI assistant. Later raised up to $2B from Google (Q4 2023) and $4B from Amazon (Q1 2024).
mega_deal,2023,Q2,Inflection AI,1300,,June 2023,Foundation Model / Generative AI,USA,Microsoft; NVIDIA; Reid Hoffman; Bill Gates; Eric Schmidt,Series B,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,Founded by DeepMind co-founder Mustafa Suleyman. Part of the $18B collectively raised by OpenAI + Anthropic + Inflection in 2023 = 36% of annual AI total. Suleyman later moved to Microsoft.
