sector,year,quarter,deal_value_usd_billions,deal_count,figure_type,source_report,source_url,secondary_citation,notes_and_flags
Crypto & Blockchain,2022,Q1,14.2,1119,CONFIRMED — later Galaxy lookback,Galaxy Digital — Crypto & Blockchain VC Q4 2023 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q4-2023/,Benzinga (Jan 2024) citing Galaxy Q4 2023 report: 'Q1 2022 exuberant $14.2 billion... 1119 deals',"⚠️ REVISION NOTE: Galaxy Q1 2023 report (contemporaneous) cited Q1 2022 at 'nearly $13 billion.' The $14.2B is a later revised figure from the Q4 2023 report, reflecting late-reported deals. Use the $14.2B as the most complete Galaxy figure for Q1 2022. SOURCE: Galaxy Digital throughout — single consistent methodology."
Crypto & Blockchain,2022,Q2,10.0,775,CONFIRMED — later Galaxy lookback,Galaxy Digital — Crypto & Blockchain VC Q2 2024 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q2-2024/,DL News (Jul 2024) citing Galaxy Q2 2024 report: 'almost $10 billion invested in Q2 2022'; CryptoBriefing (Jul 2024) citing Galaxy Q2 2024 report: 'approaching the record of 775 deals set in Q2 2022',⚠️ REVISION NOTE: Galaxy Q3 2022 report (contemporaneous) cited Q2 2022 at '$8 billion.' The ~$10B / 775 deals are later revised figures from the Q2 2024 report. Both figures are from Galaxy — the revision reflects late-reported deals added over two years.
Crypto & Blockchain,2022,Q3,5.5,518,CONFIRMED — contemporaneous Galaxy report,Galaxy Digital — Crypto & Blockchain VC Q3 2022 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q3-2022/,Blockworks (Nov 4 2022) citing Galaxy Q3 2022 report: 'more than $5.5 billion into crypto startups'; BeInCrypto (Oct 31 2022) citing Galaxy Q3 2022 report: 'more than $5.5 billion... through 518 deals',⚠️ CONTEMPORANEOUS figure — $5.5B is a floor ('more than $5.5B'). Likely revised upward in later Galaxy reports as late deals reported but revised figure not found. Annual Galaxy 2022 total = >$30B (contemporaneous) or ~$33B+ (if using revised Q1/Q2). Do not derive Q4 from these figures — see Q4 row.
Crypto & Blockchain,2022,Q4,~3.5,366,DERIVED — funding calculated from Galaxy contemporaneous annual figures; deal count confirmed,Galaxy Digital — Crypto & Blockchain VC Year-End 2022 Report + Q1 2023 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q4-2022/,"Funding derived: Galaxy year-end 2022 (CoinTelegraph Jan 6 2023 citing Thorn): "">$30B total across ~2900 deals."" Contemporaneous quarterly figures: Q1~$13B + Q2~$8B + Q3>$5.5B = ~$26.5B → Q4~$3.5B. Deal count: Blockworks (Apr 2023) citing Galaxy Q1 2023 report: ""439 deals vs just 366 in Q4 2022.""","Galaxy year-end 2022 report stated Q4 had ""fewest deals and lowest capital invested in two years."" All four quarterly inputs are Galaxy-sourced. Note: Q1 and Q2 were later revised upward ($13B→$14.2B and $8B→~$10B) in later reports; if using revised inputs, Q4 would be lower (~$2.3B). The ~$3.5B figure uses the contemporaneous set which is internally consistent with the contemporaneous $30B annual total. Do not mix contemporaneous and revised figures."
Crypto & Blockchain,2023,Q1,2.4,439,CONFIRMED — directly cited from contemporaneous report,Galaxy Digital — Crypto & Blockchain VC Q1 2023 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q1-2023/,Blockworks (Apr 11 2023) citing Galaxy Q1 2023 report: '$2.4 billion — the lowest amount since Q4 2020' and '439 deals compared to just 366 in Q4 2022.' CoinTelegraph (Apr 13 2023) quoting Alex Thorn tweet from Q1 2023 report.,Lowest investment since Q4 2020. Thorn: 'In Q1 2023 crypto and blockchain startups raised less than half the amount raised just two quarters ago.' Note: Galaxy flags that deal data is often reported late and figures may be revised upward.
Crypto & Blockchain,2023,Q2,~1.9,>430 (exact count not found in Galaxy sources),DERIVED — funding from annual total minus confirmed quarters; deal count is a floor only,Galaxy Digital — Crypto & Blockchain VC Q2 2023 Report (annual total from Q4 2024 Report),https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q2-2023/,"Funding derived: Galaxy 2023 annual total ~$10B (per multiple sources citing Galaxy Q4 2024 report) minus Q1 ($2.4B) + Q3 revised ($3.8B) + Q4 ($1.93B) = ~$1.87B ≈ $1.9B. Deal count floor: Galaxy Q3 2023 report (Blockworks Oct 2023) stated Q3 2023 had ""the lowest numbers in terms of deals since Q4 2020"" at ~430 deals; Q2 must have been higher.","⚠️ Galaxy Q2 2023 report not cited in any retrieved secondary source with specific figures. Funding is mathematically derived from four confirmed Galaxy anchor points. Deal count cannot be narrowed beyond "">430."" To close this row: pull the Galaxy Q2 2023 primary report at URL above."
Crypto & Blockchain,2023,Q3,3.8,430,CONFIRMED — later Galaxy lookback; large revision from contemporaneous,Galaxy Digital — Crypto & Blockchain VC Q4 2023 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q4-2023/,Benzinga (Jan 2024) citing Galaxy Q4 2023 report: 'a near 50% decline from Q3's $3.8 billion... significant drop from the third quarter's (Q3) 430 [deals]',⚠️ MAJOR REVISION FLAG: Galaxy Q3 2023 contemporaneous report (Oct 2023 via Blockworks) cited Q3 2023 at $1.9B. The Q4 2023 report revised this to $3.8B — a ~100% upward revision as late-reported deals were captured. Galaxy itself noted in Q1 2023 report: 'data on venture deals is often reported late and figures may be revised.' Using $3.8B / 430 deals as the final revised Galaxy figure for Q3 2023.
Crypto & Blockchain,2023,Q4,1.93,359,CONFIRMED — deal count direct; funding confirmed via two methods,Galaxy Digital — Crypto & Blockchain VC Q4 2023 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q4-2023/,Deal count: Benzinga (Jan 2024) citing Galaxy Q4 2023 report: 'deal count plummeted to a new low of 359.' Funding direct: same article 'dipping to a chilly sub-$2 billion figure.' Funding corroborated: Galaxy Q1 2024 report: '$2.49B +29% QoQ' implies Q4 2023 = $2.49/1.29 = $1.93B.,Two independent methods both yield ~$1.93B. Galaxy called Q4 2023 the 'bottom' of the market. Full year 2023 = ~$10B per Galaxy Q4 2024 report.
Crypto & Blockchain,2024,Q1,2.49,603,CONFIRMED — directly cited from contemporaneous report,Galaxy Digital — Crypto & Blockchain VC Q1 2024 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q1-2024/,Daily Hodl (May 4 2024) citing Galaxy Q1 2024 report: '$2.49 billion (+29% QoQ) across 603 deals (+68% QoQ). First rise in both capital and deal count in three quarters.',First quarterly increase since Q4 2021. Bitcoin correlation with VC investment has decoupled.
Crypto & Blockchain,2024,Q2,3.19,577,CONFIRMED — directly cited from contemporaneous report,Galaxy Digital — Crypto & Blockchain VC Q2 2024 Report,https://www.galaxy.com/insights/research/crypto-and-blockchain-venture-capital-q2-2024/,The Block (Jul 3 2024) citing Galaxy Q2 2024 report: '$3.19 billion (+28% QoQ) across 577 deals (-4% QoQ).' CryptoBriefing (Jul 5 2024) citing same report.,78% of capital to early-stage. Median pre-money valuation surged 94% QoQ to $37M — highest since Q4 2021.
