record_type,funding_type,sector_unified,year,quarter,company_name,amount_usd_millions,deal_count,date_announced,round_type,lead_investors,agency,program_name,original_category_tags,description,country,source_database,source_name,source_url,notes
annual_total,Growth VC,Space,2022,Full Year,,20100,UNCONFIRMED,Full Year 2022,,,,,space; infrastructure; distribution; applications,Total private market equity investment in the space economy in 2022 per Space Capital IQ — a 58% decline from 2021 peak. Includes all three Space Capital technology layers. ⚠️ Crunchbase narrower 'space startups' definition reports $9.6B for 2022 — see notes.,,Space Capital IQ,Space Capital IQ Q4 2022 via TechCrunch Jan 2023,https://techcrunch.com/2023/01/19/private-investment-in-space-dropped-58-last-year-even-with-spacex-anduril-monster-raises,"⚠️ SCOPE CONFLICT: Space Capital IQ $20.1B includes Infrastructure + Distribution + Applications (GPS apps, etc.). Crunchbase 'space startups' = $9.6B for 2022. Bryce Tech 'Start-Up Space' = ~$8B. These are NOT comparable. Space Capital IQ is the plan document's primary source — use consistently."
annual_total,Growth VC,Space,2023,Full Year,,12500,UNCONFIRMED,Full Year 2023,,,,,space; infrastructure; distribution; applications; M&A,Total space economy investment in 2023 per Space Capital IQ. Infrastructure = 70% of total. 39 M&A deals; described as 'a year of consolidation.' ⚠️ Crunchbase space startups definition reports $5.9B for 2023.,,Space Capital IQ,Space Capital IQ Q4 2023 via CNBC Jan 2024,https://www.cnbc.com/2024/01/16/space-capital-investment-report-2023-rebound-and-heavy-ma.html,"Space Capital IQ: 'well above last year's $9.3B [their 2022 private equity figure — possibly PE-only, not all equity] but below 2021's $15.3B.' The $12.5B vs $9.3B discrepancy for 2022 within Space Capital IQ reports likely reflects M&A vs pure-equity methodology. Access spacecapital.com/space-iq for primary PDF."
annual_total,Growth VC,Space,2024,Full Year,,26000,UNCONFIRMED,Full Year 2024,,,,,space; infrastructure; distribution; applications; emerging industries,Total space economy investment in 2024 per Space Capital IQ — up 30% YoY. Recovery year; Chad Anderson: 'Looks like 2023 was the bottom.' Q4 2024 alone: $2B to infrastructure + $300M to 12 emerging industries companies. WITHOUT SpaceX (funded from revenue).,,Space Capital IQ,Space Capital IQ Q4 2024 via Via Satellite Jan 2025,https://www.satellitetoday.com/finance/2025/01/23/space-capital-tracks-rebound-in-space-investment-in-24-expects-more-interest-in-25/,⚠️ Kennox separately cites Space Capital as $9.5B across 99 companies for 2024 — likely a VC-only cut vs. the $26B all-equity figure. Crunchbase space startups definition is on pace to exceed $5.9B (2023) in 2024. Verify scope with Space Capital primary report.
annual_total,Growth VC,Space,2025,Q2 only (Seraphim) — full year unconfirmed,,3100,UNCONFIRMED,Q2 2025,,,,,space tech; spacetech,Seraphim Space Q2 2025: $3.1B invested in spacetech — second-highest single quarter on record. Full year 2025 Space Capital IQ figure not confirmed in retrieved sources.,,Seraphim Space,Seraphim Space SpaceTech Q2 2025 Report via Seeking Alpha Jul 2025,https://seekingalpha.com/news/4467172-spacetech-investment-hits-3_1b-in-q2-second-highest-quarter-on-record,Seraphim Space and Space Capital IQ are SEPARATE trackers with different scopes. Access spacecapital.com/reports for the Space Capital IQ Q4 2025 annual figure (the plan document's designated primary source).
annual_total,Growth VC,Defense,2022,Full Year,,2600,113,Full Year 2022,,,,,defense tech; military; national security; law enforcement,VC funding to defense tech startups in 2022 per Crunchbase (military/national security/law enforcement definition). Anduril $1.5B Series E (Dec 2022) was the catalyst for the sector. Previous record before 2024.,,Crunchbase,Crunchbase News — Defense Tech Funding Sets New Record 2024 (Nov 2024 lookback),https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,⚠️ SCOPE FLAG: Crunchbase 'defense tech' (military/national security/law enforcement) = $2.6B. PitchBook 'aerospace & defense' = ~$35B for 2023 per TechCrunch — fundamentally different scope. Bain uses broader definition. Do NOT compare Crunchbase and PitchBook figures without normalizing scope.
annual_total,Growth VC,Defense,2023,Full Year,,2700,100,Full Year 2023,,,,,defense tech; military; national security; law enforcement,VC funding to defense tech startups in 2023 per Crunchbase. Shield AI $500M was the largest single round. Anduril's $1.5B December 2022 round catalyzed a 'gold rush' of defense VC that materialized through 2023.,,Crunchbase,Crunchbase News — Defense Tech Funding Growth YIR 2024,https://news.crunchbase.com/venture/defense-tech-funding-growth-yir-2024/,Steady growth from $2.6B (2022) to $2.7B (2023). Shield AI $500M alone = 18.5% of annual total. TechCrunch separately reported 'Silicon Valley pumped ~$35B into defense tech in 2023' per PitchBook broader scope — NOT comparable.
annual_total,Growth VC,Defense,2024,Full Year,,3000,102,Full Year 2024,,,,,defense tech; military; national security; law enforcement; autonomous systems,"VC funding to defense tech startups in 2024 per Crunchbase — new record, 11% increase from 2023. Anduril $1.5B = 50% of the annual total. 'Investors have become far more intelligent about defense in the last few years.' — CEO, Mach Industries.",,Crunchbase,Crunchbase News — Defense Tech Funding Growth YIR 2024,https://news.crunchbase.com/venture/defense-tech-funding-growth-yir-2024/,Bain separately: '$6.7B cumulative invested capital in 2024.' PitchBook defense VC $10B est. full-year 2025. None of these are the same dataset.
annual_total,Growth VC,Defense,2025,Full Year (estimated per PitchBook Oct 2025),,10000,UNCONFIRMED,Full Year 2025,,,,,defense tech; military; autonomous systems; AI weapons; unmanned systems,"PitchBook (Oct 2025): Global VC defense tech deal value at $7.7B through mid-year, on pace for $10B full year — more than double 2024. Business Insider: 'Aerospace and defense startups raised $19B in 2025' per PitchBook (broader scope including aerospace).",,PitchBook,PitchBook — The Iron Bubble: Why Defense Tech Might Not Be Overhyped (Oct 2025),https://pitchbook.com/news/articles/the-iron-bubble-why-defense-tech-might-not-be-overhyped,⚠️ METHODOLOGY CHANGE: $10B (PitchBook VC defense 2025) vs $3B (Crunchbase 2024) are DIFFERENT datasets. Do NOT compare without normalizing. PitchBook's scope is broader than Crunchbase. $19B Business Insider figure = PitchBook 'aerospace & defense' — much broader.
annual_total,Government Grant,Space/Defense,2022,Full Year FY2022,,2000,UNCONFIRMED,FY2022,,,Department of Defense (DoD),SBIR/STTR — All DoD Programs,SBIR; STTR; non-dilutive; government grant; DoD,DoD contributes ~$2B annually to SBIR/STTR across all programs. This is the total DoD SBIR envelope — not exclusively space or defense tech. AFWERX (Air Force + Space Force arm) is the largest single sub-awarder.,,SBIR.gov / SpaceNews,SpaceNews — The Paradox of US Government R&D Funding Apr 2024,https://spacenews.com/the-paradox-of-u-s-government-rd-funding-barriers-for-non-u-s-owned-firms/,"⚠️ IMPORTANT: (1) This '$2B annually' is the DoD SBIR/STTR budget — does NOT include DARPA OTA, DoD procurement contracts, OTAs, or NASA grants. (2) Individual SBIR awards are typically $150K (Phase I) to $1.7M (Phase II) — NOT $100M+ deals. (3) To get company-level data per the plan doc: scrape sbir.gov/awards and filter by agency=DoD, year=2022. FY2022 SBA Annual Report PDF: sbir.gov/sites/default/files/SBA_FY22_SBIR_STTR_Annual_Report.pdf"
annual_total,Government Grant,Space,2023,Full Year FY2023 (AFWERX),221 companies (aggregated),1200,221+,FY2023 (approx.),,,AFWERX / SpaceWERX (US Air Force + US Space Force),SBIR/STTR — AFWERX Total (Space subset: $259M),SBIR; STTR; AFWERX; SpaceWERX; space technologies; satellites; non-dilutive,"AFWERX awarded $1.2B total SBIR/STTR in this period, including $259M into space technologies and satellites category (221 companies). Topics: enhanced imaging, sensor processing, in-space servicing, optical comms, propulsion, satellite operations.",,SpaceNews / AFWERX.com,SpaceNews — The Paradox of US Government R&D Funding Apr 2024,https://spacenews.com/the-paradox-of-u-s-government-rd-funding-barriers-for-non-u-s-owned-firms/,"⚠️ PARTIAL DATA: $259M = space tech only; $1.2B = full AFWERX including defense, cyber, AI, etc. AFWERX cumulative as of 2026: 10,400 contracts worth $7.24B total. STRATFI awards: $3M-$15M (matching). TACFI: $375K-$2M. Exact year of this figure needs verification — SpaceNews article from April 2024 says 'last year' suggesting FY2023."
